folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Sleep Treatment,CPAP_4HOURS_5YR,Grouping participants based on CPAP usage measured at 5-year follow-up. Cut-off is 4 hours usage,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_4HOURS_6YR,Grouping participants based on CPAP usage measured at 6-year follow-up. Cut-off is 4 hours usage,,choices,,CPAP_USAGE,,,,
Administrative,CPAP_4YR,CPAP control date after 4 years,,date,,,,,,
Sleep Treatment,CPAP_5HOURS_1YR,Grouping participants based on CPAP usage measured at 1-year follow-up. Cut-off is 3 hours usage.,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_5HOURS_2YR,Grouping participants based on CPAP usage measured at 2-year follow-up. Cut-off is 3 hours usage.,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_5HOURS_3YR,Grouping participants based on CPAP usage measured at 3-year follow-up. Cut-off is 3 hours usage.,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_5HOURS_4YR,Grouping participants based on CPAP usage measured at 4-year follow-up. Cut-off is 3 hours usage,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_5HOURS_5YR,Grouping participants based on CPAP usage measured at 5-year follow-up. Cut-off is 3 hours usage,,choices,,CPAP_USAGE,,,,
Sleep Treatment,CPAP_5HOURS_6YR,Grouping participants based on CPAP usage measured at 6-year follow-up. Cut-off is 3 hours usage,,choices,,CPAP_USAGE,,,,
Administrative,CPAP_5YR,CPAP control date after 5 years,,date,,,,,,
Administrative,CPAP_6M,CPAP control date after 6 months,,date,,,,,,
Administrative,CPAP_6YR,CPAP control date after 6 years,,date,,,,,,
Sleep Treatment,CPAP_ADJHOURS_1YR,Adjusted CPAP hours at 1 year (CPAP hours/night x Percentage of CPAP days/Follow-up days),,numeric,hours (hr),,,,,
Sleep Treatment,CPAP_ADJHOURS_3M,Adjusted CPAP hours at 3 months (CPAP hours/night x Percentage of CPAP days/Follow-up days),,numeric,hours (hr),,,,,
Sleep Treatment,CPAPCATEG_1YR,Categorical CPAP hours per CPAP nights at 1 year follow up,Catgeory based on CPAP_ADJHOURS_1YR,choices,,CPAP_CATEG,,,,
Sleep Treatment,CPAPCATEG_2YR,Categorical CPAP hours per CPAP nights at 2-year follow-up ,Catgeory based on C2YR_ADJ_HOURS,choices,,CPAP_CATEG,,,,
Sleep Treatment,CPAPCATEG_3YR,Categorical CPAP hours per CPAP nights at 3-year follow-up ,Catgeory based on C3YR_ADJ_HOURS,choices,,CPAP_CATEG,,,,
Sleep Treatment,CPAPCATEG_4YR,Categorical CPAP hours per CPAP nights at 4-year follow-up ,Catgeory based on C4YR_ADJ_HOURS,choices,,CPAP_CATEG,,,,
Sleep Treatment,CPAPCATEG_5YR,Categorical CPAP hours per CPAP nights at 5-year follow-up ,Catgeory based on C5YR_ADJ_HOURS,choices,,CPAP_CATEG,,,,
Sleep Treatment,CPAPCATEG_6YR,Categorical CPAP hours per CPAP nights at 6-year follow-up ,Catgeory based on C6YR_ADJ_HOURS,choices,,CPAP_CATEG,,,,
Sleep Treatment/Adherence/CPAP Adherence,CPAPRETURN,Whether a patient returned CPAP or not,,choices,,yes_no,,,,
Sleep Treatment/Adherence/CPAP Adherence,CPAPRETURNBEF1YR,Whether a patient returned CPAP before 1 year or not,,choices,,yes_no,,,,
Sleep Treatment/Adherence/CPAP Adherence,CPAPRETURNBEFMORT,Whether a patient returned CPAP  before mortality or not,,choices,,yes_no,,,,
Sleep Treatment/Adherence/CPAP Adherence,CPAPRETURNDATE,Date of CPAP return,,date,,,,,,
Sleep Treatment,CPAPSTARTBASE,Whether a patient started the CPAP treatment at baseline or not,,choices,,yes_no,,,,
Sleep Treatment,CPAPSTARTDATE,The date a patient started CPAP treatment,,date,,,,,,
Sleep Treatment/Adherence/CPAP Adherence,CPAPSTARTFU,Whether a patient started the CPAP treatment at follow-up or not,,choices,,yes_no,,,,
Sleep Treatment,CPAPTYPE_BASE,Type of CPAP machine at Baseline,,choices,,CPAPTYPE,,,,
Lifestyle and Behavioral Health,CURRENTSMOKER,Whether a patient is currently smoking at baseline or not,,choices,,smoke_current,smoking,,,
