folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Medical History/Medications,v1_plavix,Whether the patient is using Plavix drug at baseline,"",choices,"",yes_no,"","","",""
Medical History/Medications,v1_ssri,Whether the patient is using selective seratonin reuptake inhibitor drug at baseline,"",choices,"",yes_no,"","","",""
Medical History/Medications,v1_waran,Whether the patient is using Waran at baseline,"",choices,"",yes_no,"","","",""
Medical History/Medications,v2_aceinh,Whether the patient is using Angiotensin Converting Enzyme inhibitors at Visit 2 (3 month follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v2_asa,Whether the patient is using Aspirin at Visit 2 (3 month follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v2_at2ant,Whether the patient is using Angiotensin-II-receptor antagonists at Visit 2 (3 month follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v2_bblock,Whether the patient is using Beta-Blocker drugs at Visit 2 (3 month follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v2_caant,Whether the patient is using Calcium channel antagonists at Visit 2 (3 month follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v2_diuretic,Whether the patient is using diuretic drugs at Visit 2 (3 month follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v2_lipid,Whether the patient is using Lipid reducing drug at Visit 2 (3 month follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v2_plavix,Whether the patient is using Plavix drug at Visit 2 (3 month follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v2_ssri,Whether the patient is using selective seratonin reuptake inhibitor drug at Visit 2 (3 month follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v2_waran,Whether the patient is using Waran at Visit 2 (3 month follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v3_aceinh,Whether the patient is using Angiotensin Converting Enzyme inhibitors at Visit 3 (1 year follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v3_asa,Whether the patient is using  Aspirin at Visit 3 (1 year follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v3_at2ant,Whether the patient is using Angiotensin-II-receptor antagonists at Visit 3 (1 year follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v3_bblock,Whether the patient is using Beta-Blocker drugs at Visit 3 (1 year follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v3_caant,Whether the patient is using Calcium channel antagonists at Visit 3 (1 year follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v3_diuretic,Whether the patient is using diuretic drugs at Visit 3 (1 year follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v3_lipid,Whether the patient is using Lipid reducing drug at Visit 3 (1 year follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v3_plavix,Whether the patient is using Plavix drug at Visit 3 (1 year follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v3_ssri,Whether the patient is using selective seratonin reuptake inhibitor drug at Visit 3 (1 year follow-up),"",choices,"",yes_no,"","","",""
Medical History/Medications,v3_waran,Whether the patient is using Waran at Visit 3 (1 year follow-up),"",choices,"",yes_no,"","","",""
Medical History,aftype,Atrial fibrilation type,"",choices,"",aftype,"","","",""
Medical History,ami_baseline,Whether a patient had acute myocardial infarction or not at baseline,"",choices,"",yes_no,"","","",""
Medical History,atrialfi,Whether a patient has history of atrial fibrillation at baseline,"",choices,"",yes_no,"","","",""
Medical History,chronic_af,Chronic atrial fibrilation,"",choices,"",yes_no,"","","",""
Medical History,depression,Whether the patient has diagnosied depression at baseline,"",choices,"",yes_no,"","","",""
Medical History,diabetes,Whether a patient has diabetes or not at baseline,"",choices,"",yes_no,"","","",""
Medical History,diabtrtm,Diabetes treatment type at baseline,"",choices,"",diabtrtm,"","","",""
Medical History,drugstent,Stent Type (Drug or Bare Metal),"",choices,"",drugstent,"","","",""
Medical History,fbypass,Previous Bypass,"",choices,"",yes_no,"","","",""
Medical History,finterv,Whether a patient had former revascularization intervention (PCI and/or Bypass) at baseline,"",choices,"",yes_no,"","","",""
Medical History,fpci,Previous PCI,"",choices,"",yes_no,"","","",""
Medical History,hypert,Whether a patient has hypertension or not at baseline,"",choices,"",yes_no,"","","",""
Medical History,indic_pci,Urgency Indicator for Percutaneous Coronary Intervention(PCI) (Rescue/Subacute/Elective),"",choices,"",indic_pci,"","","",""
Medical History,lungdis,Whether a patient has diagnosed lung disease or not at baseline,"",choices,"",yes_no,"","","",""
Medical History,osa_osas,Sleey or Non-Sleepy OSA; OSA diagnosis (AHI >15) at Embletta screening (based on PG_AHI) ,"",choices,"",yes_no,"","","",""
Medical History,paroxaftype,Paroxysmal atrial fibrilation type,"",choices,"",paroxaftype,"","","",""
Medical History,pci_cabg,The type of revascularization intervention (PCI or Coronary Artery Bypass Grafting (CABG)),"",choices,"",pci_cabg,"","","",""
Medical History,pci_interv,Percutaneous Coronary Intervention Type (Elective or Acute/Subacute),"",choices,"",pci_interv,"","","",""
Medical History,postopaf,Postoperative atrial fibrillation,"",choices,"",yes_no,"","","",""
Medical History,stroke,Whether a patient has had stroke or not at baseline,"",choices,"",yes_no,"","","",""
Medical History,v1_uncontrolled_bp,Bloop pressure uncontrolled at Visit 1 (baseline),"",choices,"",yes_no,"","","",""
Physiologic Measurements/Cardiovascular Assessments/Echocardiography,deltav2ea_v1ea,Change in E/A ratio between Visit 1 and Visit 2,"",numeric,"","","","","",""
